Nucleos,TickNumero,TiempoSecuencialMs,TiempoParaleloMs,Speedup,Eficiencia,DecisionesPorSegundo,PorcentajeLock,PrecioOro,SaldoPortafolio,Timestamp
1,15,11,11,1.0000,1.0000,250.00,0.00,3039.47,1000.00,2026-04-18T17:19:52.1044854Z
1,16,1,1,1.0000,1.0000,1500.00,0.00,3008.10,1000.00,2026-04-18T17:19:54.1200977Z
1,17,1,1,1.0000,1.0000,1500.00,0.00,3040.21,1000.00,2026-04-18T17:19:56.1260207Z
1,18,1,1,1.0000,1.0000,1500.00,0.00,3065.05,1000.00,2026-04-18T17:19:58.1411241Z
1,19,1,1,1.0000,1.0000,1500.00,0.00,3020.15,1000.00,2026-04-18T17:20:00.1535003Z
1,20,1,1,1.0000,1.0000,1500.00,0.00,2995.14,1000.00,2026-04-18T17:20:02.1677669Z
1,21,1,1,1.0000,1.0000,1500.00,0.00,2959.51,1000.00,2026-04-18T17:20:04.1711486Z
1,22,1,1,1.0000,1.0000,1500.00,0.00,2914.59,1000.00,2026-04-18T17:20:06.1749844Z
1,23,1,1,1.0000,1.0000,1500.00,0.00,2886.43,1000.00,2026-04-18T17:20:08.1832324Z
1,24,1,1,1.0000,1.0000,1500.00,0.00,2843.30,1000.00,2026-04-18T17:20:10.1846932Z
1,25,1,1,1.0000,1.0000,1500.00,0.00,2800.00,1000.00,2026-04-18T17:20:12.1961869Z
1,26,1,1,1.0000,1.0000,1500.00,0.00,2800.00,1000.00,2026-04-18T17:20:14.1969672Z
1,27,1,1,1.0000,1.0000,1500.00,0.00,2800.00,1000.00,2026-04-18T17:20:16.2080898Z
1,28,1,1,1.0000,1.0000,1500.00,0.00,2841.35,1000.00,2026-04-18T17:20:18.2097886Z
1,29,1,1,1.0000,1.0000,1500.00,0.00,2853.01,1000.00,2026-04-18T17:20:20.2129032Z
1,30,1,1,1.0000,1.0000,1500.00,0.00,2846.71,1000.00,2026-04-18T17:20:22.2200261Z
1,31,1,1,1.0000,1.0000,1500.00,0.00,2826.44,1000.00,2026-04-18T17:20:24.2333900Z
1,32,1,1,1.0000,1.0000,1500.00,0.00,2800.00,1000.00,2026-04-18T17:20:26.2456214Z
1,33,1,1,1.0000,1.0000,1500.00,0.00,2821.07,1000.00,2026-04-18T17:20:28.2463830Z
1,34,1,1,1.0000,1.0000,1500.00,0.00,2804.39,1000.00,2026-04-18T17:20:30.2518267Z
1,35,1,1,1.0000,1.0000,1500.00,0.00,2800.00,1000.00,2026-04-18T17:20:32.2585407Z
1,36,1,1,1.0000,1.0000,1500.00,0.00,2826.62,1000.00,2026-04-18T17:20:34.2736350Z
1,37,1,1,1.0000,1.0000,1500.00,0.00,2831.83,1000.00,2026-04-18T17:20:36.2736557Z
