Nucleos,TickNumero,TiempoSecuencialMs,TiempoParaleloMs,Speedup,Eficiencia,DecisionesPorSegundo,PorcentajeLock,PrecioOro,SaldoPortafolio,Timestamp
5,1,1628,847,1.9221,0.3844,17.69,0.00,3085.00,1000.00,2026-04-18T18:48:48.3248946Z
5,2,1501,871,1.7233,0.3447,17.20,0.00,3228.36,900.00,2026-04-18T18:49:50.7245604Z
5,3,1888,995,1.8975,0.3795,15.06,0.00,3007.53,1000.00,2026-04-18T18:50:53.6110734Z
10,4,1518,909,1.6700,0.1670,32.97,0.00,3162.67,900.00,2026-04-18T18:51:56.0520544Z
10,5,1627,912,1.7840,0.1784,32.86,0.00,3170.69,800.00,2026-04-18T18:52:58.6043686Z
10,6,2164,1009,2.1447,0.2145,29.70,0.00,3206.44,700.00,2026-04-18T18:54:01.7863427Z
10,7,2621,883,2.9683,0.2968,33.94,0.00,3255.76,600.00,2026-04-18T18:55:05.3044936Z
10,8,1581,936,1.6891,0.1689,32.02,0.00,2872.38,500.00,2026-04-18T18:56:07.8312697Z
10,9,1775,1023,1.7351,0.1735,29.30,0.00,2830.29,400.00,2026-04-18T18:57:10.6441640Z
10,10,1936,910,2.1275,0.2127,32.93,0.00,3080.65,300.00,2026-04-18T18:58:13.4942229Z
16,11,1604,890,1.8022,0.1126,53.87,0.00,2800.00,200.00,2026-04-18T18:59:15.9968217Z
16,12,1879,1165,1.6129,0.1008,41.17,0.00,3118.00,100.00,2026-04-18T19:00:19.0521731Z
16,13,1945,879,2.2127,0.1383,54.55,0.00,3071.78,0.00,2026-04-18T19:01:21.8893520Z
16,14,1563,698,2.2393,0.1400,68.67,0.00,3168.33,-100.00,2026-04-18T19:02:24.1545255Z
16,15,2537,1129,2.2471,0.1404,42.48,0.00,2843.30,-200.00,2026-04-18T19:03:27.8286209Z
16,16,2541,1101,2.3079,0.1442,43.56,0.00,2856.69,-300.00,2026-04-18T19:04:31.4792917Z
16,17,1646,869,1.8941,0.1184,55.17,0.00,3085.00,-400.00,2026-04-18T19:05:33.9970067Z
16,18,1836,948,1.9367,0.1210,50.58,0.00,3216.59,-500.00,2026-04-18T19:06:36.7822296Z
16,19,1666,876,1.9018,0.1189,54.73,0.00,3008.44,-600.00,2026-04-18T19:07:39.3341516Z
16,20,1634,776,2.1057,0.1316,61.78,0.00,3178.97,-500.00,2026-04-18T19:08:41.7469279Z
16,21,1615,757,2.1334,0.1333,63.32,0.00,3127.64,-600.00,2026-04-18T19:09:44.1322862Z
16,22,1557,800,1.9463,0.1216,59.93,0.00,3206.44,-700.00,2026-04-18T19:10:46.4959593Z
16,23,1527,966,1.5807,0.0988,49.64,0.00,3255.76,-800.00,2026-04-18T19:11:49.0045964Z
16,24,1617,878,1.8417,0.1151,54.61,0.00,2916.32,-900.00,2026-04-18T19:12:51.5021680Z
16,25,1569,793,1.9786,0.1237,60.45,0.00,2800.00,-1000.00,2026-04-18T19:13:53.8704891Z
16,26,1764,790,2.2329,0.1396,60.68,0.00,3033.69,-1100.00,2026-04-18T19:14:56.4269220Z
16,27,1519,868,1.7500,0.1094,55.24,0.00,2800.00,-1000.00,2026-04-18T19:15:58.8278326Z
16,28,1575,910,1.7308,0.1082,52.69,0.00,3118.00,-900.00,2026-04-18T19:17:01.3258533Z
16,29,1550,890,1.7416,0.1088,53.87,0.00,3114.26,-800.00,2026-04-18T19:18:03.7813579Z
16,30,1581,940,1.6819,0.1051,51.01,0.00,3133.58,-900.00,2026-04-18T19:19:06.3145418Z
16,31,1740,847,2.0543,0.1284,56.60,0.00,2886.43,-800.00,2026-04-18T19:20:08.9153057Z
