Nucleos,TickNumero,TiempoSecuencialMs,TiempoParaleloMs,Speedup,Eficiencia,DecisionesPorSegundo,PorcentajeLock,PrecioOro,SaldoPortafolio,Timestamp
1,59,10,2,5.0000,5.0000,1000.00,0.00,4794.70,10000.00,2026-04-16T23:18:00.5134818Z
1,60,1,1,1.0000,1.0000,1500.00,0.00,4794.70,10000.28,2026-04-16T23:18:02.6218840Z
1,61,1,1,1.0000,1.0000,1500.00,0.00,4794.70,10003.06,2026-04-16T23:18:04.7217478Z
1,62,1,1,1.0000,1.0000,1500.00,0.00,4794.78,10003.44,2026-04-16T23:18:06.8134125Z
1,63,1,1,1.0000,1.0000,1500.00,0.00,4794.80,10003.72,2026-04-16T23:18:08.9093443Z
1,64,1,1,1.0000,1.0000,1500.00,0.00,4794.80,10004.23,2026-04-16T23:18:11.0164052Z
1,65,1,1,1.0000,1.0000,1500.00,0.00,4794.80,10004.71,2026-04-16T23:18:13.1161692Z
1,66,1,1,1.0000,1.0000,1500.00,0.00,4794.80,10005.68,2026-04-16T23:18:15.2073278Z
1,67,1,1,1.0000,1.0000,1500.00,0.00,4794.80,10006.45,2026-04-16T23:18:17.3125532Z
1,68,1,1,1.0000,1.0000,1500.00,0.00,4794.82,10007.34,2026-04-16T23:18:19.4191052Z
1,69,1,1,1.0000,1.0000,1500.00,0.00,4794.82,10007.54,2026-04-16T23:18:21.5180060Z
1,70,1,1,1.0000,1.0000,1500.00,0.00,4794.82,10008.14,2026-04-16T23:18:23.6168845Z
1,71,1,1,1.0000,1.0000,1500.00,0.00,4794.90,10009.47,2026-04-16T23:18:25.7082622Z
1,72,1,1,1.0000,1.0000,1500.00,0.00,4794.90,10010.34,2026-04-16T23:18:27.8013804Z
1,73,1,1,1.0000,1.0000,1500.00,0.00,4794.90,10011.32,2026-04-16T23:18:29.9051318Z
1,74,1,1,1.0000,1.0000,1500.00,0.00,4794.90,10011.45,2026-04-16T23:18:32.0003121Z
1,75,1,1,1.0000,1.0000,1500.00,0.00,4794.90,10012.25,2026-04-16T23:18:34.0937694Z
1,76,1,1,1.0000,1.0000,1500.00,0.00,4795.25,10015.75,2026-04-16T23:18:36.1909473Z
1,77,1,1,1.0000,1.0000,1500.00,0.00,4795.25,10019.25,2026-04-16T23:18:38.2851398Z
1,78,1,1,1.0000,1.0000,1500.00,0.00,4795.25,10023.54,2026-04-16T23:18:40.3828418Z
1,79,1,1,1.0000,1.0000,1500.00,0.00,4795.25,10024.06,2026-04-16T23:18:42.4838994Z
1,80,1,1,1.0000,1.0000,1500.00,0.00,4795.52,10027.79,2026-04-16T23:18:44.5799829Z
1,81,1,1,1.0000,1.0000,1500.00,0.00,4795.52,10030.49,2026-04-16T23:18:46.6784964Z
1,82,1,1,1.0000,1.0000,1500.00,0.00,4795.52,10031.26,2026-04-16T23:18:48.7771974Z
1,83,1,1,1.0000,1.0000,1500.00,0.00,4795.54,10032.94,2026-04-16T23:18:50.8743613Z
1,84,1,1,1.0000,1.0000,1500.00,0.00,4795.54,10035.70,2026-04-16T23:18:52.9681911Z
1,85,1,1,1.0000,1.0000,1500.00,0.00,4795.54,10036.32,2026-04-16T23:18:55.0625394Z
1,86,1,1,1.0000,1.0000,1500.00,0.00,4795.92,10039.70,2026-04-16T23:18:57.1625576Z
1,87,1,1,1.0000,1.0000,1500.00,0.00,4796.26,10042.52,2026-04-16T23:18:59.2620578Z
1,88,1,1,1.0000,1.0000,1500.00,0.00,4796.26,10049.77,2026-04-16T23:19:01.3571135Z
1,89,1,1,1.0000,1.0000,1500.00,0.00,4796.26,10052.54,2026-04-16T23:19:03.4522741Z
1,90,1,1,1.0000,1.0000,1500.00,0.00,4796.26,10059.69,2026-04-16T23:19:05.5591430Z
1,91,1,1,1.0000,1.0000,1500.00,0.00,4796.26,10063.09,2026-04-16T23:19:07.6510020Z
1,92,1,1,1.0000,1.0000,1500.00,0.00,4796.26,10063.09,2026-04-16T23:19:09.7432935Z
1,93,1,1,1.0000,1.0000,1500.00,0.00,4796.26,10063.09,2026-04-16T23:19:11.8368508Z
1,94,1,1,1.0000,1.0000,1500.00,0.00,4796.26,10063.89,2026-04-16T23:19:13.9321219Z
1,95,1,1,1.0000,1.0000,1500.00,0.00,4796.36,10066.41,2026-04-16T23:19:16.0317416Z
1,96,1,1,1.0000,1.0000,1500.00,0.00,4796.36,10066.65,2026-04-16T23:19:18.1291082Z
1,97,1,1,1.0000,1.0000,1500.00,0.00,4796.36,10067.87,2026-04-16T23:19:20.2289584Z
1,98,1,1,1.0000,1.0000,1500.00,0.00,4796.36,10069.10,2026-04-16T23:19:22.3328638Z
1,99,1,1,1.0000,1.0000,1500.00,0.00,4796.36,10070.20,2026-04-16T23:19:24.4277783Z
1,100,1,1,1.0000,1.0000,1500.00,0.00,4796.02,10072.67,2026-04-16T23:19:26.5259609Z
1,101,1,1,1.0000,1.0000,1500.00,0.00,4796.02,10072.83,2026-04-16T23:19:28.6226238Z
1,102,1,1,1.0000,1.0000,1500.00,0.00,4796.04,10073.23,2026-04-16T23:19:30.7194150Z
1,103,1,1,1.0000,1.0000,1500.00,0.00,4796.04,10077.32,2026-04-16T23:19:32.8177621Z
1,104,1,1,1.0000,1.0000,1500.00,0.00,4796.04,10080.62,2026-04-16T23:19:34.9217187Z
1,105,1,1,1.0000,1.0000,1500.00,0.00,4796.24,10082.22,2026-04-16T23:19:37.0149425Z
1,106,1,1,1.0000,1.0000,1500.00,0.00,4796.25,10084.18,2026-04-16T23:19:39.1139113Z
1,107,1,1,1.0000,1.0000,1500.00,0.00,4796.25,10084.38,2026-04-16T23:19:41.2083395Z
1,108,1,1,1.0000,1.0000,1500.00,0.00,4796.24,10084.45,2026-04-16T23:19:43.3054975Z
1,109,1,1,1.0000,1.0000,1500.00,0.00,4796.24,10084.49,2026-04-16T23:19:45.3991350Z
1,110,1,1,1.0000,1.0000,1500.00,0.00,4796.08,10086.04,2026-04-16T23:19:47.4937415Z
1,111,1,1,1.0000,1.0000,1500.00,0.00,4796.40,10090.90,2026-04-16T23:19:49.5867236Z
